SampleID	Group	Date	Site	Day	Day2	Sex	Stage	Individual	CRA	CRR	BarcodeSequence	LinkerPrimerSequence	ReversePrimer	Batch	Species	Sequencing	Platform	Description	Sa	weight	food
A4D3	A	2019/3/2	Emei	3	d3	F	one	A4	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.4D3	A4	53	10
A4D6	A	2019/3/2	Emei	6	d6	F	one	A4	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.4D6	A4	66	26
A4D9	A	2019/3/2	Emei	9	d9	F	one	A4	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.4D9	A4	94	25.5
A4D12	A	2019/3/2	Emei	12	d12	F	one	A4	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.4D12	A4	145	52
A4D15	A	2019/3/2	Emei	15	d15	F	one	A4	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.4D15	A4	184	72
A4D18	A	2019/3/2	Emei	18	d18	F	one	A4	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.4D18	A4	258	100
A4D21	A	2019/3/2	Emei	21	d21	F	one	A4	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.4D21	A4	361	90
A4D24	A	2019/3/2	Emei	24	d24	F	two	A4	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.4D24	A4	470	152
A4D27	A	2019/3/2	Emei	27	d27	F	two	A4	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.4D27	A4	583	184
A4D30	A	2019/3/2	Emei	30	d30	F	two	A4	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.4D30	A4	760	208
A4D37	A	2019/3/2	Emei	37	d37	F	two	A4	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.4D37	A4	1023	240
A6D3	A	2019/3/2	Emei	3	d3	M	one	A6	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.6D3	A6	50	11.5
A6D6	A	2019/3/2	Emei	6	d6	M	one	A6	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.6D6	A6	63	25
A6D9	A	2019/3/2	Emei	9	d9	M	one	A6	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.6D9	A6	97	40
A6D12	A	2019/3/2	Emei	12	d12	M	one	A6	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.6D12	A6	144	52
A6D18	A	2019/3/2	Emei	18	d18	M	one	A6	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.6D18	A6	310	112
A6D21	A	2019/3/2	Emei	21	d21	M	one	A6	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.6D21	A6	427	144
A6D24	A	2019/3/2	Emei	24	d24	M	one	A6	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.6D24	A6	562	176
A6D27	A	2019/3/2	Emei	27	d27	M	two	A6	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.6D27	A6	670	208
A6D30	A	2019/3/2	Emei	30	d30	M	two	A6	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.6D30	A6	802	240
A6D37	A	2019/3/2	Emei	37	d37	M	two	A6	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.6D37	A6	1137	195
A6D44	A	2019/3/2	Emei	44	d44	M	two	A6	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.6D44	A6		
A7D1	A	2019/3/2	Emei	1	d1	M	one	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D1	A7	54	0
A7D6	A	2019/3/2	Emei	6	d6	M	one	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D6	A7	77	29
A7D9	A	2019/3/2	Emei	9	d9	M	one	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D9	A7	110	45
A7D12	A	2019/3/2	Emei	12	d12	M	one	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D12	A7	142	48
A7D15	A	2019/3/2	Emei	15	d15	M	one	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D15	A7	192	72
A7D18	A	2019/3/2	Emei	18	d18	M	one	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D18	A7	269	96
A7D21	A	2019/3/2	Emei	21	d21	M	one	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D21	A7	370	132
A7D24	A	2019/3/2	Emei	24	d24	M	one	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D24	A7	498	168
A7D27	A	2019/3/2	Emei	27	d27	M	two	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D27	A7	620	204
A7D30	A	2019/3/2	Emei	30	d30	M	two	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D30	A7		228
A7D37	A	2019/3/2	Emei	37	d37	M	two	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D37	A7		
A7D44	A	2019/3/2	Emei	44	d44	M	two	A7	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f1.7D44	A7		
B2D3	B	2019/3/2	Emei	3	d3	M	one	B2	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f2.2D3	B2	56	12.5
B2D6	B	2019/3/2	Emei	6	d6	M	one	B2	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f2.2D6	B2	68	25
B2D9	B	2019/3/2	Emei	9	d9	M	one	B2	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f2.2D9	B2	103	37
B2D12	B	2019/3/2	Emei	12	d12	M	one	B2	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f2.2D12	B2	140	46
B2D15	B	2019/3/2	Emei	15	d15	M	one	B2	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f2.2D15	B2	205	72
B2D18	B	2019/3/2	Emei	18	d18	M	one	B2	CRA11111111	CRR00001	AAAAAA	AAAAA	AAAAA	1	Crested ibis	Novagene	NovaSeq6000	f2.2D18	B2	273	100
