OTUID	A4D12	A4D15	A4D18	A4D21	A4D24	A4D27	A4D3	A4D30	A4D37	A4D6	A4D9	A6D12	A6D18	A6D21	A6D24	A6D27	A6D3	A6D30	A6D37	A6D44	A6D6	A6D9	A7D1	A7D12	A7D15	A7D18	A7D21	A7D24	A7D27	A7D30	A7D37	A7D44	A7D6	A7D9	B2D12	B2D15	B2D18	B2D21	B2D24	B2D27	B2D3	B2D37	B2D44	B2D6	B2D9	B4D12	B4D18	B4D21	B4D24	B4D3	B4D30	B4D37	B4D44	B4D6	B4D9	B5D12	B5D18	B5D24	B5D3	B5D30	B5D6	B5D9	B6D12	B6D15	B6D18	B6D21	B6D24	B6D27	B6D37	B6D44	B6D6	B6D9	B8D12	B8D15	B8D18	B8D21	B8D24	B8D27	B8D3	B8D30	B8D37	B8D44	B8D6	B8D9	C1D12	C1D15	C1D18	C1D21	C1D24	C1D27	C1D30	C1D37	C1D44	C1D6	C1D9	C3D1	C3D18	C3D21	C3D24	C3D27	C3D3	C3D30	C3D37	C3D44	C3D6	C3D9	C4D15	C4D18	C4D21	C4D24	C4D27	C4D3	C4D30	C4D37	C4D44	C4D6	C4D9	C7D1	C7D12	C7D15	C7D18	C7D21	C7D24	C7D27	C7D3	C7D30	C7D37	C7D44	C7D6	C7D9	C8D12	C8D15	C8D18	C8D21	C8D24	C8D27	C8D3	C8D30	C8D37	C8D44	C8D6	C8D9	C9D12	C9D15	C9D24	C9D27	C9D3	C9D37	C9D44	C9D6	C9D9
ASV_1	13362	16894	1986	8233	25801	18388	2099	7415	5479	18538	2955	44047	13624	29717	7190	54578	5735	9604	4778	16721	53246	3703	5690	28476	20606	9651	26958	2553	7643	4100	14131	2862	3495	13854	28147	6564	6215	4473	2298	22844	4869	7249	2909	6165	4541	37577	22464	9614	5310	4257	4437	9956	1857	5742	37991	6097	5582	4708	25810	2878	3700	51204	8842	22741	44284	41135	4772	27069	28156	3154	3545	19538	26869	25923	2223	25499	13901	14235	1184	609	1791	26460	17337	31867	45134	46037	28745	4825	1387	30776	45382	14351	18201	9824	2456	5870	809	12914	6939	37720	9836	4330	2367	34801	44442	26335	14020	52021	27503	24925	4997	12308	4476	8429	8457	6192	21128	44271	30867	9100	22030	7571	38857	8997	15409	6220	4151	14632	7514	19438	26544	15503	19388	14744	9400	5622	5979	13754	8260	3650	2223	6765	15803	10375	16827	5542	23561	11321	6567	44541	28380
ASV_2	22878	31341	38084	26202	13108	9847	5269	19460	38124	21440	40599	4846	25984	15348	13649	3192	24968	2434	6549	2595	3738	34862	2566	17028	20729	25722	16169	3962	2144	2075	2267	2179	28520	20416	19172	15749	36963	31552	24208	12398	2931	8677	960	4909	32795	8883	24762	35967	3990	8665	136	1145	10507	44837	13379	37261	36297	37987	11579	3248	59551	5864	35868	27661	10171	7668	26528	10629	1999	201	34352	14861	13205	12829	39341	18041	6864	8452	29174	777	10986	3359	17095	3318	3532	6501	19955	27711	19314	8076	2178	2940	2749	2019	38465	21049	43985	36137	19844	12426	30616	2965	23169	7197	7648	16360	32878	3820	25423	4587	3144	10694	3212	4967	5369	49079	12885	3854	16419	17790	16093	2554	4480	10523	5146	4432	5272	1947	47718	24851	4895	16340	24415	9244	4601	4622	10840	2239	4680	6543	19716	1379	35344	18114	5421	14091	3330	1774	5676	2460	22077
ASV_3	1468	731	1032	2484	502	17103	418	1700	1516	4795	704	2490	291	5204	12471	2654	430	5278	24086	9631	273	6482	1090	5999	3107	8414	5761	6481	5339	966	28622	1362	1425	8783	693	4505	2169	3776	2544	3479	2102	2513	2742	495	896	5388	588	3430	867	281	114	739	316	453	1302	873	1066	796	192	1738	146	375	1837	1865	1819	5632	3036	16091	6317	45	2928	1428	12618	4884	3538	3070	9652	14902	18635	207	2519	2980	7026	21401	1314	1182	1468	819	2111	5280	1750	21654	3368	28378	2113	4766	1836	3494	2787	8393	968	8866	9689	6339	2248	7112	3503	4010	2608	3316	5500	4056	2445	23779	1513	2103	14936	1780	747	17877	3120	20035	4929	21301	2543	9484	23339	9613	1967	8047	15830	3073	4122	21941	19470	20879	22841	7050	12465	12203	10870	28201	3931	28946	19012	22326	7692	28413	21604	6831	2856
ASV_4	0	0	0	1	1	23	1	3795	54	5	0	24	22	28	27	40	62	5567	6629	5669	30	26	968	442	139	133	612	31978	20814	33829	1725	3956	1809	1290	2	12	10	289	512	52	1114	886	376	695	10	57	323	583	113	30	30695	23508	2499	36	57	243	1131	458	270	26058	92	272	90	295	271	6451	16014	1147	3339	609	1771	193	119	1877	4022	1414	1978	12605	1125	40231	30567	9837	523	55	1480	857	2016	3302	1124	624	55	471	14628	6704	2210	2301	1538	806	148	592	399	19380	9957	5702	259	737	2604	1959	2131	19660	30284	2979	35651	958	81	163	98	44	1492	841	12980	17840	8640	8386	939	22923	2839	13490	1750	1187	120	196	4164	8855	12998	2678	479	14922	515	1921	1555	1	6017	2593	7723	3591	295	4684	197	117	183
ASV_5	9185	13326	15836	13694	5907	3976	1274	7778	2082	7385	13960	1831	4694	4278	5644	625	18495	363	678	340	1204	6411	317	444	5094	2151	1454	378	189	178	375	383	7902	7214	5567	5340	12975	12813	8379	6007	862	1768	256	1586	12873	2390	7184	9084	867	4071	45	264	1690	7727	3696	759	1163	884	1350	286	1004	669	8112	6182	2198	1502	2380	1153	418	70	11928	3862	808	4561	13305	5782	2028	2172	1669	306	2219	847	923	576	1292	2390	9318	11168	6540	1732	622	754	1030	731	13930	6996	8302	6465	3220	1847	11499	681	4842	1871	2591	7398	6042	223	419	282	431	3063	621	471	534	833	3929	283	554	1538	1318	380	380	2061	286	586	457	354	581	379	519	2243	5095	1504	858	204	454	453	219	245	612	92	1309	732	333	257	146	167	173	192	672
ASV_6	34	15	22	317	12	122	396	689	8269	10	9	3955	267	1030	2326	892	443	14772	943	15702	542	363	716	591	4026	1130	3912	775	16203	913	2827	22746	2112	805	1754	550	1468	336	482	10759	820	4334	6705	1767	1535	4189	116	942	1236	444	1503	1879	13669	363	208	945	458	1416	2004	1278	515	439	516	392	1451	292	388	1799	12668	11754	1295	888	2025	659	88	326	131	281	154	13	813	1381	328	2040	441	109	115	91	294	850	6791	1767	3867	1015	69	514	191	660	1224	1041	484	3050	175	1833	343	272	1083	1561	812	774	1032	540	187	1249	14433	1128	449	446	1231	589	1720	229	527	772	3411	609	12025	9227	449	3256	7663	3100	1125	1010	708	8692	11986	6893	22053	6442	4601	1071	1043	167	155	2582	1641	3027	3666	5639	3119
ASV_7	1	0	0	1	0	3	0	1712	20	0	0	8	12	9	14	11	22	2310	2860	2428	8	24	396	175	58	44	272	13969	8335	15196	698	1705	692	514	0	6	5	99	194	13	525	393	142	260	3	24	129	217	40	13	13928	9893	1067	7	30	108	499	200	103	11247	35	89	48	103	129	2991	6702	467	1367	263	762	108	47	734	1622	579	774	4991	461	17302	12492	3974	202	26	599	342	745	1369	450	263	17	196	6225	2604	901	904	605	302	62	224	149	7641	3849	2215	104	249	1232	771	848	8266	12970	1170	14971	360	26	51	36	18	637	332	5442	7464	3898	3543	352	9892	1148	5638	705	485	64	66	1619	3682	5435	1115	185	6240	223	781	691	0	2517	1054	3161	1444	110	1903	80	37	83
ASV_8	0	1	0	0	0	1	83	64	1767	0	0	49	26	92	2016	283	73	10386	397	1317	75	56	205	202	2139	383	1006	288	816	287	677	22797	1471	65	715	822	1017	561	595	1259	256	1153	49100	2302	3100	4	4	3	3	440	1376	3627	18177	3	1	521	405	572	2324	578	350	441	74	79	107	59	79	123	2904	42210	999	1008	23	48	0	27	0	0	8	1	80	15	4	1	60	7	2	3	31	63	54	251	429	90	4	41	18	44	47	78	81	243	10	475	37	28	28	43	6	29	646	60	3	49	30495	1057	4	475	379	411	1913	144	382	154	2933	143	7359	863	410	691	594	288	170	92	67	4598	1687	351	1063	493	591	0	96	66	93	2179	139	386	1167	283	202
ASV_9	443	131	270	337	95	2702	76	492	333	42	223	428	71	927	2560	1144	126	1927	7800	3048	55	2768	345	1276	660	2179	1158	1230	1454	204	4449	233	360	2284	166	1021	535	1465	792	700	392	551	595	83	204	790	184	705	122	39	35	165	33	85	308	222	243	115	41	542	33	83	324	280	302	1387	611	1574	1218	25	101	235	1859	988	535	428	795	840	2383	71	759	1268	1020	2981	457	321	324	179	499	3056	428	5729	991	10037	742	1349	294	815	676	1663	278	1669	2356	1121	542	1229	1083	976	653	736	1224	554	672	5972	231	595	9953	560	107	2505	387	2580	457	2654	486	900	3855	1909	416	1198	3493	488	587	2313	1363	5619	1473	1350	1806	3669	1832	7822	616	4009	2880	4850	1745	4744	4627	1460	593
ASV_10	3376	777	3051	1328	2302	780	201	2038	168	2651	3648	471	6248	489	1129	75	5951	148	2394	365	356	798	240	2818	146	295	23	148	45	158	42	315	10327	1967	1163	14764	1826	4667	6762	796	158	1075	244	11760	1041	846	1408	952	1668	4381	3601	798	4937	229	890	18222	1025	567	1250	838	475	1611	320	2257	865	507	426	240	143	856	927	2033	62	2526	227	629	1177	702	219	154	522	165	476	114	783	1356	678	1243	3467	509	211	118	1372	923	1211	1166	285	103	1545	229	10104	316	650	723	1592	605	169	35	110	37	299	310	236	124	60	133	79	110	155	372	280	129	322	122	74	264	72	129	622	132	12	138	101	125	234	73	201	153	95	154	253	19	108	62	220	79	592	82	36	18	184
