SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
A4D12	297	407	402.710353226564	2.13222797450919	0.7914612392	4.79527161360211
A4D15	271	352.136363636364	351.034509672114	1.52976089062263	0.6775696688	3.1014451905882
A4D18	247	326.441176470588	325.211687032148	1.4802124435219	0.5946255712	2.46685515650365
A4D21	328	405.019230769231	412.831855321169	2.2262535897337	0.7794526824	4.53417439342277
A4D24	210	286.607142857143	294.495369265526	2.18757311395299	0.7775281288	4.49495028115716
A4D27	335	380.016666666667	393.489239308128	2.20681987403114	0.7971698376	4.93023319691431
A4D3	294	363.051724137931	380.966814959491	1.79374197522289	0.7477502952	3.96432574933186
A4D30	388	503.188679245283	490.246068147319	2.55365672415392	0.8455937168	6.47642038442643
A4D37	364	446.5	448.400102821155	1.8175392033801	0.6336898168	2.72992683758948
A4D6	255	378.117647058824	351.360954236894	1.95750662508712	0.7815226648	4.57713382069849
A4D9	276	377.333333333333	377.840366202042	1.47795525170024	0.5835269288	2.40111562824137
A6D12	283	409.923076923077	403.161765308033	1.46540973930374	0.5271536376	2.11485184093276
A6D18	216	284.076923076923	286.626379429592	2.20470296336824	0.7800642424	4.54678225547441
A6D21	319	430.583333333333	424.14078483862	1.79061012620622	0.7005966256	3.33997571671991
A6D24	224	330.105263157895	307.668304918675	2.66506255755989	0.8794190448	8.29318359886404
A6D27	170	219.875	235.185421965843	0.964253971902017	0.3303064448	1.4932202829716
A6D3	352	486.372093023256	460.712050859556	1.85906302414711	0.728716816	3.68618498668167
A6D30	264	405.375	467.859256170329	2.34049575116774	0.8649298488	7.40356023233651
A6D37	196	231.775	252.361270272777	2.19631566429637	0.8003431512	5.00859352439103
A6D44	160	230.384615384615	244.161551242094	2.2059292606712	0.8396633496	6.23687720496374
A6D6	304	438.117647058824	399.323632756807	1.02260300429702	0.3160685072	1.46213474672152
A6D9	294	357.893617021277	368.192699776524	1.83440119322806	0.6534656696	2.88571697599402
A7D1	123	162	170.578704025689	1.51320462557846	0.617259312	2.61273502230837
A7D12	145	194.04347826087	191.631952306765	1.67244887173267	0.6968434864	3.29862613910203
A7D15	182	237.454545454545	245.711140509243	1.83093028812284	0.7482671344	3.97246500816062
A7D18	223	302.081081081081	323.261234140715	2.10076502475921	0.76514842	4.25800839832544
A7D21	273	444.122448979592	484.692534196753	1.91397977437205	0.740702228	3.85656996697989
A7D24	141	186.230769230769	198.020009476414	1.61062173438273	0.6815433312	3.1401446349614
A7D27	178	270.5	293.082439241203	1.92231861801204	0.796726704	4.91948534154727
A7D30	167	275.04347826087	289.697464651189	1.50304334259438	0.6256193736	2.67107838783188
A7D37	138	220.5	213.44660406878	1.82881367938155	0.725979872	3.64936695453263
A7D44	256	332.241379310345	323.121834978135	1.99647585583524	0.7435274192	3.89905227639055
A7D6	172	297.142857142857	288.259476771744	2.02546655023525	0.768770216	4.32470239214512
A7D9	127	190.588235294118	194.258283950819	1.9738347771045	0.8017826808	5.04496783649367
B2D12	182	308.555555555556	277.711504308915	1.65420877247552	0.6871582712	3.19650451950833
B2D15	169	216.142857142857	213.195853150507	2.54513936920256	0.865984816	7.46184104034062
B2D18	180	271.5	251.749329127904	1.73960608717668	0.6651496056	2.98640830867721
B2D21	176	239.142857142857	230.511409790426	1.76700101891632	0.6961735304	3.29135246615129
B2D24	208	323.555555555556	289.780990632013	2.43627204470621	0.8227574096	5.64198479464335
